exp_date,species,start_temp,tube,ctmax,length
2026-06-30,Leptodiaptomus siciloides,28,1,37.6,
2026-06-30,Leptodiaptomus siciloides,28,3,37,
2026-06-30,Leptodiaptomus siciloides,28,5,36.8,
2026-06-30,Leptodiaptomus siciloides,28,7,37.3,
2026-06-30,Leptodiaptomus siciloides,28,11,36.5,
