exp_date,species,start_temp,acc_temp,lab_acc,tube,ctmax,length
2026-06-12,Skistodiaptomus pallidus,22,16,yes,1,35.9,1.0
2026-06-12,Skistodiaptomus pallidus,22,16,yes,3,35.9,0.95
2026-06-12,Skistodiaptomus pallidus,22,16,yes,5,35.8,0.89
2026-06-12,Skistodiaptomus pallidus,22,16,yes,9,35.8,0.99
2026-06-12,Skistodiaptomus pallidus,22,16,yes,11,35.6,0.92
