#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/12/2026 12:03:03,16.51,Logged,,,,
2,06/12/2026 12:03:33,16.51,,,,,
3,06/12/2026 12:04:03,16.51,,,,,
4,06/12/2026 12:04:33,16.56,,,,,
5,06/12/2026 12:05:03,16.64,,,,,
6,06/12/2026 12:05:33,16.64,,,,,
7,06/12/2026 12:06:03,16.73,,,,,
8,06/12/2026 12:06:33,16.73,,,,,
9,06/12/2026 12:07:03,16.64,,,,,
10,06/12/2026 12:07:33,16.26,,,,,
11,06/12/2026 12:08:03,15.96,,,,,
12,06/12/2026 12:08:33,15.70,,,,,
13,06/12/2026 12:09:03,15.57,,,,,
14,06/12/2026 12:09:33,15.48,,,,,
15,06/12/2026 12:10:03,15.44,,,,,
16,06/12/2026 12:10:33,15.36,,,,,
17,06/12/2026 12:11:03,15.36,,,,,
18,06/12/2026 12:11:33,15.31,,,,,
19,06/12/2026 12:12:03,15.31,,,,,
20,06/12/2026 12:12:33,15.31,,,,,
21,06/12/2026 12:13:03,15.36,,,,,
22,06/12/2026 12:13:33,15.36,,,,,
23,06/12/2026 12:14:03,15.31,,,,,
24,06/12/2026 12:14:33,15.36,,,,,
25,06/12/2026 12:15:03,15.36,,,,,
26,06/12/2026 12:15:33,15.40,,,,,
27,06/12/2026 12:16:03,15.44,,,,,
28,06/12/2026 12:16:33,15.48,,,,,
29,06/12/2026 12:17:03,15.44,,,,,
30,06/12/2026 12:17:33,15.53,,,,,
31,06/12/2026 12:18:03,15.57,,,,,
32,06/12/2026 12:18:33,15.53,,,,,
33,06/12/2026 12:19:03,15.57,,,,,
34,06/12/2026 12:19:33,15.66,,,,,
35,06/12/2026 12:20:03,15.66,,,,,
36,06/12/2026 12:20:33,15.70,,,,,
37,06/12/2026 12:21:03,15.70,,,,,
38,06/12/2026 12:21:33,15.74,,,,,
39,06/12/2026 12:22:03,15.78,,,,,
40,06/12/2026 12:22:33,15.83,,,,,
41,06/12/2026 12:23:03,15.83,,,,,
42,06/12/2026 12:23:33,15.83,,,,,
43,06/12/2026 12:24:03,15.96,,,,,
44,06/12/2026 12:24:33,15.96,,,,,
45,06/12/2026 12:25:03,15.96,,,,,
46,06/12/2026 12:25:33,16.00,,,,,
47,06/12/2026 12:26:03,16.04,,,,,
48,06/12/2026 12:26:33,16.08,,,,,
49,06/12/2026 12:27:03,16.13,,,,,
50,06/12/2026 12:27:33,16.08,,,,,
51,06/12/2026 12:28:03,16.13,,,,,
52,06/12/2026 12:28:33,16.13,,,,,
53,06/12/2026 12:29:03,16.21,,,,,
54,06/12/2026 12:29:33,16.26,,,,,
55,06/12/2026 12:30:03,16.30,,,,,
56,06/12/2026 12:30:33,16.34,,,,,
57,06/12/2026 12:31:03,16.30,,,,,
58,06/12/2026 12:31:33,16.39,,,,,
59,06/12/2026 12:32:03,16.47,,,,,
60,06/12/2026 12:32:33,16.51,,,,,
61,06/12/2026 12:33:03,16.64,,,,,
62,06/12/2026 12:33:33,16.77,,,,,
63,06/12/2026 12:34:03,16.81,,,,,
64,06/12/2026 12:34:33,16.94,,,,,
65,06/12/2026 12:35:03,17.07,,,,,
66,06/12/2026 12:35:33,17.20,,,,,
67,06/12/2026 12:36:03,17.33,,,,,
68,06/12/2026 12:36:33,17.50,,,,,
69,06/12/2026 12:37:03,17.59,,,,,
70,06/12/2026 12:37:33,17.76,,,,,
71,06/12/2026 12:38:03,17.80,,,,,
72,06/12/2026 12:38:33,18.02,,,,,
73,06/12/2026 12:39:03,18.19,,,,,
74,06/12/2026 12:39:33,18.32,,,,,
75,06/12/2026 12:40:03,18.49,,,,,
76,06/12/2026 12:40:33,18.57,,,,,
77,06/12/2026 12:41:03,18.74,,,,,
78,06/12/2026 12:41:33,18.92,,,,,
79,06/12/2026 12:42:03,19.09,,,,,
80,06/12/2026 12:42:33,19.26,,,,,
81,06/12/2026 12:43:03,19.39,,,,,
82,06/12/2026 12:43:33,19.56,,,,,
83,06/12/2026 12:44:03,19.69,,,,,
84,06/12/2026 12:44:33,19.82,,,,,
85,06/12/2026 12:45:03,19.99,,,,,
86,06/12/2026 12:45:33,20.07,,,,,
87,06/12/2026 12:46:03,20.29,,,,,
88,06/12/2026 12:46:33,20.42,,,,,
89,06/12/2026 12:47:03,20.55,,,,,
90,06/12/2026 12:47:33,20.72,,,,,
91,06/12/2026 12:48:03,20.85,,,,,
92,06/12/2026 12:48:33,21.06,,,,,
93,06/12/2026 12:49:03,21.15,,,,,
94,06/12/2026 12:49:33,21.28,,,,,
95,06/12/2026 12:50:03,21.40,,,,,
96,06/12/2026 12:50:33,21.62,,,,,
97,06/12/2026 12:51:03,21.70,,,,,
98,06/12/2026 12:51:33,21.88,,,,,
99,06/12/2026 12:52:03,21.96,,,,,
100,06/12/2026 12:52:33,22.09,,,,,
101,06/12/2026 12:53:03,22.26,,,,,
102,06/12/2026 12:53:33,22.39,,,,,
103,06/12/2026 12:54:03,22.52,,,,,
104,06/12/2026 12:54:33,22.69,,,,,
105,06/12/2026 12:55:03,22.78,,,,,
106,06/12/2026 12:55:33,22.91,,,,,
107,06/12/2026 12:56:03,23.03,,,,,
108,06/12/2026 12:56:33,23.21,,,,,
109,06/12/2026 12:57:03,23.38,,,,,
110,06/12/2026 12:57:33,23.46,,,,,
111,06/12/2026 12:58:03,23.59,,,,,
112,06/12/2026 12:58:33,23.76,,,,,
113,06/12/2026 12:59:03,23.89,,,,,
114,06/12/2026 12:59:33,24.02,,,,,
115,06/12/2026 13:00:03,24.15,,,,,
116,06/12/2026 13:00:33,24.28,,,,,
117,06/12/2026 13:01:03,24.41,,,,,
118,06/12/2026 13:01:33,24.58,,,,,
119,06/12/2026 13:02:03,24.66,,,,,
120,06/12/2026 13:02:33,24.84,,,,,
121,06/12/2026 13:03:03,24.97,,,,,
122,06/12/2026 13:03:33,25.09,,,,,
123,06/12/2026 13:04:03,25.22,,,,,
124,06/12/2026 13:04:33,25.39,,,,,
125,06/12/2026 13:05:03,25.48,,,,,
126,06/12/2026 13:05:33,25.61,,,,,
127,06/12/2026 13:06:03,25.74,,,,,
128,06/12/2026 13:06:33,25.87,,,,,
129,06/12/2026 13:07:03,25.99,,,,,
130,06/12/2026 13:07:33,26.17,,,,,
131,06/12/2026 13:08:03,26.30,,,,,
132,06/12/2026 13:08:33,26.38,,,,,
133,06/12/2026 13:09:03,26.51,,,,,
134,06/12/2026 13:09:33,26.64,,,,,
135,06/12/2026 13:10:03,26.72,,,,,
136,06/12/2026 13:10:33,26.90,,,,,
137,06/12/2026 13:11:03,27.02,,,,,
138,06/12/2026 13:11:33,27.15,,,,,
139,06/12/2026 13:12:03,27.24,,,,,
140,06/12/2026 13:12:33,27.37,,,,,
141,06/12/2026 13:13:03,27.50,,,,,
142,06/12/2026 13:13:33,27.58,,,,,
143,06/12/2026 13:14:03,27.67,,,,,
144,06/12/2026 13:14:33,27.80,,,,,
145,06/12/2026 13:15:03,27.97,,,,,
146,06/12/2026 13:15:33,28.05,,,,,
147,06/12/2026 13:16:03,28.14,,,,,
148,06/12/2026 13:16:33,28.31,,,,,
149,06/12/2026 13:17:03,28.40,,,,,
150,06/12/2026 13:17:33,28.53,,,,,
151,06/12/2026 13:18:03,28.70,,,,,
152,06/12/2026 13:18:33,28.78,,,,,
153,06/12/2026 13:19:03,28.91,,,,,
154,06/12/2026 13:19:33,29.04,,,,,
155,06/12/2026 13:20:03,29.13,,,,,
156,06/12/2026 13:20:33,29.26,,,,,
157,06/12/2026 13:21:03,29.34,,,,,
158,06/12/2026 13:21:33,29.43,,,,,
159,06/12/2026 13:22:03,29.56,,,,,
160,06/12/2026 13:22:33,29.68,,,,,
161,06/12/2026 13:23:03,29.77,,,,,
162,06/12/2026 13:23:33,29.90,,,,,
163,06/12/2026 13:24:03,29.98,,,,,
164,06/12/2026 13:24:33,30.11,,,,,
165,06/12/2026 13:25:03,30.20,,,,,
166,06/12/2026 13:25:33,30.33,,,,,
167,06/12/2026 13:26:03,30.41,,,,,
168,06/12/2026 13:26:33,30.54,,,,,
169,06/12/2026 13:27:03,30.67,,,,,
170,06/12/2026 13:27:33,30.76,,,,,
171,06/12/2026 13:28:03,30.89,,,,,
172,06/12/2026 13:28:33,30.93,,,,,
173,06/12/2026 13:29:03,31.10,,,,,
174,06/12/2026 13:29:33,31.23,,,,,
175,06/12/2026 13:30:03,31.27,,,,,
