#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/29/2026 16:33:21,16.94,Logged,,,,
2,06/29/2026 16:34:21,16.13,,,,,
3,06/29/2026 16:35:21,15.78,,,,,
4,06/29/2026 16:36:21,15.53,,,,,
5,06/29/2026 16:37:21,15.48,,,,,
6,06/29/2026 16:38:21,15.57,,,,,
7,06/29/2026 16:39:21,15.66,,,,,
8,06/29/2026 16:40:21,15.87,,,,,
9,06/29/2026 16:41:21,16.08,,,,,
10,06/29/2026 16:42:21,16.34,,,,,
11,06/29/2026 16:43:21,16.60,,,,,
12,06/29/2026 16:44:21,16.86,,,,,
13,06/29/2026 16:45:21,17.11,,,,,
14,06/29/2026 16:46:21,17.37,,,,,
15,06/29/2026 16:47:21,17.67,,,,,
16,06/29/2026 16:48:21,17.93,,,,,
17,06/29/2026 16:49:21,18.23,,,,,
18,06/29/2026 16:50:21,18.49,,,,,
19,06/29/2026 16:51:21,18.83,,,,,
20,06/29/2026 16:52:21,19.13,,,,,
21,06/29/2026 16:53:21,19.39,,,,,
22,06/29/2026 16:54:21,19.69,,,,,
23,06/29/2026 16:55:21,19.90,,,,,
24,06/29/2026 16:56:21,20.20,,,,,
25,06/29/2026 16:57:21,20.46,,,,,
26,06/29/2026 16:58:21,20.76,,,,,
27,06/29/2026 16:59:21,20.98,,,,,
28,06/29/2026 17:00:21,21.28,,,,,
29,06/29/2026 17:01:21,21.53,,,,,
30,06/29/2026 17:02:21,21.79,,,,,
31,06/29/2026 17:03:21,22.09,,,,,
32,06/29/2026 17:04:21,22.39,,,,,
33,06/29/2026 17:05:21,22.56,,,,,
34,06/29/2026 17:06:21,22.82,,,,,
35,06/29/2026 17:07:21,23.08,,,,,
36,06/29/2026 17:08:21,23.34,,,,,
37,06/29/2026 17:09:21,23.55,,,,,
38,06/29/2026 17:10:21,23.81,,,,,
39,06/29/2026 17:11:21,24.06,,,,,
40,06/29/2026 17:12:21,24.32,,,,,
41,06/29/2026 17:13:21,24.58,,,,,
42,06/29/2026 17:14:21,24.75,,,,,
43,06/29/2026 17:15:21,25.01,,,,,
44,06/29/2026 17:16:21,25.27,,,,,
45,06/29/2026 17:17:21,25.52,,,,,
46,06/29/2026 17:18:21,25.69,,,,,
47,06/29/2026 17:19:21,25.95,,,,,
48,06/29/2026 17:20:21,26.17,,,,,
49,06/29/2026 17:21:21,26.38,,,,,
50,06/29/2026 17:22:21,26.64,,,,,
51,06/29/2026 17:23:21,26.85,,,,,
52,06/29/2026 17:24:21,27.02,,,,,
53,06/29/2026 17:25:21,27.20,,,,,
54,06/29/2026 17:26:21,27.41,,,,,
55,06/29/2026 17:27:21,27.67,,,,,
56,06/29/2026 17:28:21,27.88,,,,,
57,06/29/2026 17:29:21,28.05,,,,,
58,06/29/2026 17:30:21,28.18,,,,,
59,06/29/2026 17:31:21,28.40,,,,,
60,06/29/2026 17:32:21,28.65,,,,,
61,06/29/2026 17:33:21,28.78,,,,,
62,06/29/2026 17:34:21,28.95,,,,,
63,06/29/2026 17:35:21,29.08,,,,,
64,06/29/2026 17:36:21,29.26,,,,,
65,06/29/2026 17:37:21,29.47,,,,,
66,06/29/2026 17:38:21,29.73,,,,,
67,06/29/2026 17:39:21,29.94,,,,,
68,06/29/2026 17:40:21,30.16,,,,,
69,06/29/2026 17:41:21,30.28,,,,,
70,06/29/2026 17:42:21,30.50,,,,,
71,06/29/2026 17:43:21,30.71,,,,,
72,06/29/2026 17:44:21,30.84,,,,,
73,06/29/2026 17:45:21,31.06,,,,,
74,06/29/2026 17:46:21,31.27,,,,,
75,06/29/2026 17:47:21,31.31,,,,,
76,06/29/2026 17:48:21,31.53,,,,,
77,06/29/2026 17:49:21,31.66,,,,,
78,06/29/2026 17:50:21,31.83,,,,,
79,06/29/2026 17:51:21,31.92,,,,,
80,06/29/2026 17:52:21,32.17,,,,,
81,06/29/2026 17:53:21,32.26,,,,,
82,06/29/2026 17:54:21,32.43,,,,,
83,06/29/2026 17:55:21,32.52,,,,,
84,06/29/2026 17:56:21,32.69,,,,,
85,06/29/2026 17:57:21,32.82,,,,,
86,06/29/2026 17:58:21,32.94,,,,,
87,06/29/2026 17:59:21,33.07,,,,,
88,06/29/2026 18:00:21,33.20,,,,,
89,06/29/2026 18:01:21,33.37,,,,,
90,06/29/2026 18:02:21,33.46,,,,,
91,06/29/2026 18:03:21,33.59,,,,,
92,06/29/2026 18:04:21,33.76,,,,,
93,06/29/2026 18:05:21,33.85,,,,,
94,06/29/2026 18:06:21,33.97,,,,,
95,06/29/2026 18:07:21,34.10,,,,,
96,06/29/2026 18:08:21,34.27,,,,,
97,06/29/2026 18:09:21,34.32,,,,,
98,06/29/2026 18:10:21,34.49,,,,,
99,06/29/2026 18:11:21,34.57,,,,,
100,06/29/2026 18:12:21,34.70,,,,,
101,06/29/2026 18:13:21,34.79,,,,,
102,06/29/2026 18:14:21,34.92,,,,,
103,06/29/2026 18:15:21,35.05,,,,,
104,06/29/2026 18:16:21,35.13,,,,,
105,06/29/2026 18:17:21,35.22,,,,,
106,06/29/2026 18:18:21,35.35,,,,,
107,06/29/2026 18:19:21,35.48,,,,,
108,06/29/2026 18:20:21,35.48,,,,,
109,06/29/2026 18:21:21,35.52,,,,,
110,06/29/2026 18:22:21,35.56,,,,,
111,06/29/2026 18:23:21,35.60,,,,,
112,06/29/2026 18:24:21,35.69,,,,,
113,06/29/2026 18:25:21,35.78,,,,,
114,06/29/2026 18:26:21,35.82,,,,,
115,06/29/2026 18:27:21,35.90,,,,,
116,06/29/2026 18:28:21,35.99,,,,,
117,06/29/2026 18:29:21,36.08,,,,,
118,06/29/2026 18:30:21,36.16,,,,,
119,06/29/2026 18:31:21,36.25,,,,,
120,06/29/2026 18:32:21,36.33,,,,,
121,06/29/2026 18:33:21,36.42,,,,,
122,06/29/2026 18:34:21,36.51,,,,,
123,06/29/2026 18:35:21,36.59,,,,,
124,06/29/2026 18:36:21,36.63,,,,,
125,06/29/2026 18:37:21,36.76,,,,,
126,06/29/2026 18:38:21,36.85,,,,,
127,06/29/2026 18:39:21,36.89,,,,,
128,06/29/2026 18:40:21,36.98,,,,,
129,06/29/2026 18:41:21,37.02,,,,,
130,06/29/2026 18:42:21,37.06,,,,,
131,06/29/2026 18:43:21,37.15,,,,,
132,06/29/2026 18:44:21,37.23,,,,,
133,06/29/2026 18:45:21,37.32,,,,,
134,06/29/2026 18:46:21,37.32,,,,,
135,06/29/2026 18:47:21,37.45,,,,,
136,06/29/2026 18:48:21,37.49,,,,,
137,06/29/2026 18:49:21,37.54,,,,,
138,06/29/2026 18:50:21,37.62,,,,,
139,06/29/2026 18:51:21,37.62,,,,,
140,06/29/2026 18:52:21,37.71,,,,,
141,06/29/2026 18:53:21,37.75,,,,,
142,06/29/2026 18:54:21,37.84,,,,,
143,06/29/2026 18:55:21,37.88,,,,,
144,06/29/2026 18:56:21,37.96,,,,,
145,06/29/2026 18:57:21,37.92,,,,,
146,06/29/2026 18:57:42,,,Logged,Logged,,
147,06/29/2026 18:57:57,,,,,Logged,Logged
