#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/12/2026 12:01:37,21.53,Logged,,,,
2,06/12/2026 12:02:07,21.58,,,,,
3,06/12/2026 12:02:37,21.58,,,,,
4,06/12/2026 12:03:07,21.53,,,,,
5,06/12/2026 12:03:37,21.62,,,,,
6,06/12/2026 12:04:07,21.62,,,,,
7,06/12/2026 12:04:37,21.62,,,,,
8,06/12/2026 12:05:07,21.62,,,,,
9,06/12/2026 12:05:37,21.62,,,,,
10,06/12/2026 12:06:07,21.62,,,,,
11,06/12/2026 12:06:37,21.62,,,,,
12,06/12/2026 12:07:07,21.66,,,,,
13,06/12/2026 12:07:37,21.66,,,,,
14,06/12/2026 12:08:07,21.79,,,,,
15,06/12/2026 12:08:37,21.70,,,,,
16,06/12/2026 12:09:07,21.70,,,,,
17,06/12/2026 12:09:37,21.75,,,,,
18,06/12/2026 12:10:07,21.75,,,,,
19,06/12/2026 12:10:37,21.79,,,,,
20,06/12/2026 12:11:07,21.75,,,,,
21,06/12/2026 12:11:37,21.75,,,,,
22,06/12/2026 12:12:07,21.79,,,,,
23,06/12/2026 12:12:37,21.79,,,,,
24,06/12/2026 12:13:07,21.83,,,,,
25,06/12/2026 12:13:37,21.88,,,,,
26,06/12/2026 12:14:07,21.83,,,,,
27,06/12/2026 12:14:37,21.88,,,,,
28,06/12/2026 12:15:07,21.88,,,,,
29,06/12/2026 12:15:37,21.88,,,,,
30,06/12/2026 12:16:07,21.92,,,,,
31,06/12/2026 12:16:37,21.92,,,,,
32,06/12/2026 12:17:07,21.92,,,,,
33,06/12/2026 12:17:37,21.96,,,,,
34,06/12/2026 12:18:07,22.01,,,,,
35,06/12/2026 12:18:37,21.96,,,,,
36,06/12/2026 12:19:07,22.01,,,,,
37,06/12/2026 12:19:37,22.05,,,,,
38,06/12/2026 12:20:07,22.05,,,,,
39,06/12/2026 12:20:37,22.05,,,,,
40,06/12/2026 12:21:07,22.05,,,,,
41,06/12/2026 12:21:37,22.09,,,,,
42,06/12/2026 12:22:07,22.05,,,,,
43,06/12/2026 12:22:37,22.09,,,,,
44,06/12/2026 12:23:07,22.13,,,,,
45,06/12/2026 12:23:37,22.18,,,,,
46,06/12/2026 12:24:07,22.18,,,,,
47,06/12/2026 12:24:37,22.18,,,,,
48,06/12/2026 12:25:07,22.18,,,,,
49,06/12/2026 12:25:37,22.18,,,,,
50,06/12/2026 12:26:07,22.22,,,,,
51,06/12/2026 12:26:37,22.22,,,,,
52,06/12/2026 12:27:07,22.22,,,,,
53,06/12/2026 12:27:37,22.22,,,,,
54,06/12/2026 12:28:07,22.31,,,,,
55,06/12/2026 12:28:37,22.31,,,,,
56,06/12/2026 12:29:07,22.26,,,,,
57,06/12/2026 12:29:37,22.31,,,,,
58,06/12/2026 12:30:07,22.31,,,,,
59,06/12/2026 12:30:37,22.35,,,,,
60,06/12/2026 12:31:07,22.35,,,,,
61,06/12/2026 12:31:37,22.35,,,,,
62,06/12/2026 12:32:07,22.39,,,,,
63,06/12/2026 12:32:37,22.43,,,,,
64,06/12/2026 12:33:07,22.52,,,,,
65,06/12/2026 12:33:37,22.52,,,,,
66,06/12/2026 12:34:07,22.69,,,,,
