#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/29/2026 16:34:07,24.79,Logged,,,,
2,06/29/2026 16:35:07,25.31,,,,,
3,06/29/2026 16:36:07,25.82,,,,,
4,06/29/2026 16:37:07,26.25,,,,,
5,06/29/2026 16:38:07,26.60,,,,,
6,06/29/2026 16:39:07,26.90,,,,,
7,06/29/2026 16:40:07,27.15,,,,,
8,06/29/2026 16:41:07,27.41,,,,,
9,06/29/2026 16:42:07,27.67,,,,,
10,06/29/2026 16:43:07,27.93,,,,,
11,06/29/2026 16:44:07,28.18,,,,,
12,06/29/2026 16:45:07,28.35,,,,,
13,06/29/2026 16:46:07,28.57,,,,,
14,06/29/2026 16:47:07,28.83,,,,,
15,06/29/2026 16:48:07,29.04,,,,,
16,06/29/2026 16:49:07,29.30,,,,,
17,06/29/2026 16:50:07,29.47,,,,,
18,06/29/2026 16:51:07,29.68,,,,,
19,06/29/2026 16:52:07,29.90,,,,,
20,06/29/2026 16:53:07,30.11,,,,,
21,06/29/2026 16:54:07,30.33,,,,,
22,06/29/2026 16:55:07,30.46,,,,,
23,06/29/2026 16:56:07,30.76,,,,,
24,06/29/2026 16:57:07,30.93,,,,,
25,06/29/2026 16:58:07,31.06,,,,,
26,06/29/2026 16:59:07,31.23,,,,,
27,06/29/2026 17:00:07,31.49,,,,,
28,06/29/2026 17:01:07,31.70,,,,,
29,06/29/2026 17:02:07,31.87,,,,,
30,06/29/2026 17:03:07,32.00,,,,,
31,06/29/2026 17:04:07,32.22,,,,,
32,06/29/2026 17:05:07,32.39,,,,,
33,06/29/2026 17:06:07,32.56,,,,,
34,06/29/2026 17:07:07,32.69,,,,,
35,06/29/2026 17:08:07,32.86,,,,,
36,06/29/2026 17:09:07,33.03,,,,,
37,06/29/2026 17:10:07,33.20,,,,,
38,06/29/2026 17:11:07,33.33,,,,,
39,06/29/2026 17:12:07,33.55,,,,,
40,06/29/2026 17:13:07,33.72,,,,,
41,06/29/2026 17:14:07,33.89,,,,,
42,06/29/2026 17:15:07,33.97,,,,,
43,06/29/2026 17:16:07,34.10,,,,,
44,06/29/2026 17:17:07,34.27,,,,,
45,06/29/2026 17:18:07,34.45,,,,,
46,06/29/2026 17:19:07,34.53,,,,,
47,06/29/2026 17:20:07,34.66,,,,,
48,06/29/2026 17:21:07,34.83,,,,,
49,06/29/2026 17:22:07,35.00,,,,,
50,06/29/2026 17:23:07,35.09,,,,,
51,06/29/2026 17:24:07,35.18,,,,,
52,06/29/2026 17:25:07,35.43,,,,,
53,06/29/2026 17:26:07,35.52,,,,,
54,06/29/2026 17:27:07,35.60,,,,,
55,06/29/2026 17:28:07,35.73,,,,,
56,06/29/2026 17:29:07,35.86,,,,,
57,06/29/2026 17:30:07,36.03,,,,,
58,06/29/2026 17:31:07,36.16,,,,,
59,06/29/2026 17:32:07,36.29,,,,,
60,06/29/2026 17:33:07,36.38,,,,,
61,06/29/2026 17:34:07,36.42,,,,,
62,06/29/2026 17:35:07,36.59,,,,,
63,06/29/2026 17:36:07,36.68,,,,,
64,06/29/2026 17:37:07,36.76,,,,,
65,06/29/2026 17:38:07,36.89,,,,,
66,06/29/2026 17:39:07,36.98,,,,,
67,06/29/2026 17:40:07,37.11,,,,,
68,06/29/2026 17:41:07,37.19,,,,,
69,06/29/2026 17:42:07,37.23,,,,,
70,06/29/2026 17:43:07,37.36,,,,,
71,06/29/2026 17:44:07,37.45,,,,,
72,06/29/2026 17:45:07,37.49,,,,,
73,06/29/2026 17:46:07,37.54,,,,,
74,06/29/2026 17:47:07,37.62,,,,,
75,06/29/2026 17:48:07,37.66,,,,,
76,06/29/2026 17:49:07,37.71,,,,,
77,06/29/2026 17:50:07,37.79,,,,,
78,06/29/2026 17:51:07,37.88,,,,,
79,06/29/2026 17:52:07,37.96,,,,,
80,06/29/2026 17:53:07,37.96,,,,,
81,06/29/2026 17:54:07,38.05,,,,,
82,06/29/2026 17:54:36,,,Logged,Logged,,
83,06/29/2026 17:54:39,,,,,Logged,Logged
